chave_municipal,município,codigo_ibge,regiao,populacao_2025,populacao_censo_2022,idhm_2010,pib_per_capita_2023_reais,pib_2023_mil_reais,densidade_hab_km2,area_km2,valor_pago,total_repasses,qtd_repasses,valor_medio
4304606,Canoas,4304606,Sul,359840,347657.0,0.75,83895.0,29166697.0,2658.15,130.789,5958562.42,5782558.14,3,1927519.38
4305108,Caxias do Sul,4305108,Sul,479599,463501.0,0.782,81684.0,37860602.0,280.52,1652.32,5782558.14,5782558.14,3,1927519.38
4314407,Pelotas,4314407,Sul,336150,325685.0,0.739,38322.0,12480919.0,202.44,1608.78,5782558.14,5782558.14,3,1927519.38
4314902,Porto Alegre,4314902,Sul,1388794,1332845.0,0.805,78586.0,104743272.0,2690.5,495.39,5782558.14,5782558.14,5,1156511.628
4315602,Rio Grande,4315602,Sul,198935,191900.0,0.744,73511.0,14106680.0,71.53,2682.867,5782558.14,5782558.14,3,1927519.38
4300604,Alvorada,4300604,Sul,194062,187315.0,0.699,22048.0,4129934.0,2612.48,71.7,5432558.14,5432558.14,2,2716279.07
4313409,Novo Hamburgo,4313409,Sul,235802,227646.0,0.747,52435.0,11936582.0,1022.96,222.536,5432558.14,5432558.14,2,2716279.07
4316907,Santa Maria,4316907,Sul,282395,271735.0,0.784,40230.0,10932024.0,152.64,1780.194,5432558.14,5432558.14,4,1358139.535
4303103,Cachoeirinha,4303103,Sul,141503,136258.0,0.757,57111.0,7781824.0,3112.48,43.778,5259302.33,5259302.33,5,1051860.466
4320008,Sapucaia do Sul,4320008,Sul,136572,132107.0,0.726,35800.0,4729408.0,2268.05,58.247,5259302.33,5259302.33,3,1753100.7766666666
4318705,Sao Leopoldo,4318705,Sul,225737,217409.0,0.739,54004.0,11740913.0,2110.58,103.009,5232558.14,5232558.14,1,5232558.14
4302105,Bento Goncalves,4302105,Sul,127977,123151.0,0.778,73589.0,9062598.0,452.28,272.287,4997674.42,4997674.42,3,1665891.4733333334
4316808,Santa Cruz do Sul,4316808,Sul,138270,133230.0,0.773,100553.0,13396618.0,181.54,733.898,4709302.33,4709302.33,1,4709302.33
4309308,Guaiba,4309308,Sul,95946,92924.0,0.73,96873.0,9001785.0,247.03,376.166,4474418.6,4474418.6,3,1491472.8666666665
4311403,Lajeado,4311403,Sul,96879,93646.0,0.778,71602.0,6705227.0,1026.47,91.231,4124418.6,4124418.6,2,2062209.3
4303004,Cachoeira do Sul,4303004,Sul,82222,80070.0,0.742,42104.0,3371237.0,21.43,3736.064,3951162.79,3951162.79,3,1317054.2633333334
4307708,Esteio,4307708,Sul,78144,76137.0,0.754,52518.0,3998587.0,2751.01,27.676,3951162.79,3951162.79,7,564451.8271428571
4303905,Campo Bom,4303905,Sul,64719,62886.0,0.745,72015.0,4528757.0,1038.08,60.579,3689534.88,3689534.88,3,1229844.96
4312401,Montenegro,4312401,Sul,66352,64322.0,0.755,81767.0,5259437.0,151.34,425.023,3689534.88,3689534.88,3,1229844.96
4322608,Venancio Aires,4322608,Sul,70842,68763.0,0.712,68105.0,4683134.0,89.0,772.588,3689534.88,3689534.88,3,1229844.96
4321204,Taquara,4321204,Sul,54353,53242.0,0.727,34104.0,1815775.0,117.64,452.572,3427906.98,3427906.98,3,1142635.66
4314050,Parobe,4314050,Sul,53569,52058.0,0.704,33150.0,1725746.0,478.88,108.707,3077906.98,3077906.98,2,1538953.49
4309100,Gramado,4309100,Sul,41705,40134.0,0.764,88848.0,3565830.0,167.69,239.341,2904651.16,2904651.16,3,968217.0533333333
4318804,Sao Lourenco do Sul,4318804,Sul,43278,41989.0,0.687,40953.0,1719596.0,20.62,2036.125,2904651.16,2904651.16,3,968217.0533333333
4307807,Estrela,4307807,Sul,33263,32183.0,0.767,73856.0,2376913.0,173.94,185.026,2643023.26,2643023.26,3,881007.7533333333
4310108,Igrejinha,4310108,Sul,34776,32808.0,0.721,80960.0,2656127.0,237.22,138.303,2643023.26,2643023.26,3,881007.7533333333
4319505,Sao Sebastiao do Cai,4319505,Sul,24898,24428.0,0.739,45995.0,1123568.0,213.73,114.293,2581395.35,2381395.35,3,793798.4500000001
4306767,Eldorado do Sul,4306767,Sul,41012,39559.0,0.717,66318.0,2623491.0,77.63,509.614,2554651.16,2554651.16,2,1277325.58
4315701,Rio Pardo,4315701,Sul,35641,34654.0,0.693,36014.0,1248019.0,16.9,2051.112,2443023.26,2443023.26,2,1221511.63
4304200,Candelaria,4304200,Sul,29775,28906.0,0.674,42714.0,1234677.0,30.6,944.735,2381395.35,2381395.35,3,793798.4500000001
4309407,Guapore,4309407,Sul,26168,25268.0,0.765,50045.0,1264537.0,84.92,297.545,2381395.35,2381395.35,3,793798.4500000001
4318507,Sao Jose do Norte,4318507,Sul,26248,25443.0,0.623,50052.0,1273464.0,23.74,1071.824,2381395.35,2381395.35,3,793798.4500000001
4321709,Tres Coroas,4321709,Sul,24428,24425.0,0.71,42828.0,1046073.0,147.78,165.285,2381395.35,2381395.35,5,476279.07
4322004,Triunfo,4322004,Sul,28435,27498.0,0.733,275341.0,7571335.0,33.63,817.625,2381395.35,2381395.35,3,793798.4500000001
4322707,Vera Cruz,4322707,Sul,27670,26710.0,0.737,42184.0,1126736.0,86.27,309.621,2381395.35,2381395.35,3,793798.4500000001
4322806,Veranopolis,4322806,Sul,24554,24021.0,0.773,99722.0,2395417.0,83.0,289.397,2381395.35,2381395.35,3,793798.4500000001
4301008,Arroio do Meio,4301008,Sul,22523,21958.0,0.769,88493.0,1943138.0,139.78,157.088,2119767.44,2119767.44,3,706589.1466666666
4306809,Encantado,4306809,Sul,23520,22962.0,0.767,61468.0,1411422.0,164.01,140.006,2119767.44,2119767.44,3,706589.1466666666
4316006,Rolante,4316006,Sul,21752,21253.0,0.688,44747.0,951008.0,71.78,296.09,2119767.44,2119767.44,3,706589.1466666666
4305355,Charqueadas,4305355,Sul,36110,35012.0,0.747,53051.0,1857420.0,161.08,217.362,2093023.26,2093023.26,1,2093023.26
4313375,Nova Santa Rita,4313375,Sul,30189,29024.0,0.718,111266.0,3229383.0,133.04,218.153,2031395.35,2031395.35,2,1015697.675
4321303,Taquari,4321303,Sul,25963,25198.0,0.733,44597.0,1123745.0,72.0,349.967,2031395.35,2031395.35,2,1015697.675
4300109,Agudo,4300109,Sul,16341,16041.0,0.694,48635.0,780152.0,30.0,534.624,1858139.53,1858139.53,3,619379.8433333334
4308102,Feliz,4308102,Sul,13994,13764.0,0.75,49156.0,676581.0,145.14,94.832,1858139.53,1858139.53,3,619379.8433333334
4315503,Restinga Seca,4315503,Sul,15205,14939.0,0.683,43057.0,643230.0,15.42,968.62,1858139.53,1858139.53,3,619379.8433333334
4320701,Sobradinho,4320701,Sul,14512,14226.0,0.743,36781.0,523240.0,110.43,128.823,1858139.53,1858139.53,3,619379.8433333334
4318408,Sao Jeronimo,4318408,Sul,21412,21028.0,0.696,33873.0,712278.0,22.48,935.596,1769767.44,1769767.44,2,884883.72
4301206,Arroio do Tigre,4301206,Sul,12291,12058.0,0.707,39205.0,472739.0,38.26,315.132,1596511.63,1596511.63,3,532170.5433333333
4302352,Bom Principio,4302352,Sul,13665,13142.0,0.746,72365.0,951019.0,148.23,88.66,1596511.63,1596511.63,3,532170.5433333333
4306205,Cruzeiro do Sul,4306205,Sul,12574,11600.0,0.723,59116.0,685746.0,74.81,155.058,1596511.63,1596511.63,3,532170.5433333333
4311106,Jaguari,4311106,Sul,10771,10579.0,0.712,31093.0,328937.0,15.67,675.314,1596511.63,1596511.63,3,532170.5433333333
4300851,Arambare,4300851,Sul,4215,4112.0,0.691,56805.0,233582.0,7.94,518.193,1334883.72,1334883.72,3,444961.24
4304614,Canudos do Vale,4304614,Sul,1686,1656.0,0.713,40431.0,66953.0,19.97,82.908,1334883.72,1334883.72,3,444961.24
4305132,Cerro Branco,4305132,Sul,3859,3802.0,0.661,27412.0,104220.0,24.06,158.025,1334883.72,1334883.72,3,444961.24
4305587,Colinas,4305587,Sul,2474,2423.0,0.765,37308.0,90398.0,39.9,60.732,1334883.72,1334883.72,3,444961.24
4305835,Coqueiro Baixo,4305835,Sul,1308,1290.0,0.692,43419.0,56011.0,11.45,112.638,1334883.72,1334883.72,3,444961.24
4305959,Cotipora,4305959,Sul,3926,3846.0,0.741,53329.0,205102.0,22.2,173.207,1334883.72,1334883.72,3,444961.24
4306700,Dona Francisca,4306700,Sul,3133,3079.0,0.697,36446.0,112216.0,26.97,114.149,1334883.72,1334883.72,3,444961.24
4306759,Doutor Ricardo,4306759,Sul,1924,1888.0,0.724,47513.0,89704.0,17.49,107.96,1334883.72,1334883.72,3,444961.24
4308003,Faxinal do Soturno,4308003,Sul,6846,6702.0,0.72,44544.0,298533.0,39.54,169.514,1334883.72,1334883.72,3,444961.24
