chave_municipal,municipio_cobertura,localizacao_cobertura,afetado_lista_2024_06_11,qtd_movimentacoes_base,creditos_base,ajustes_negativos_base,saldo_liquido_base,qtd_movimentacoes_ate_extrato,saldo_liquido_ate_extrato,situacao_na_base,situacao_comparacao,motivos_investigacao
4309605,Horizontina,"Horizontina, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4309704,Humaitá,"Humaitá, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4309803,Ibiaçá,"Ibiaçá, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4309902,Ibiraiaras,"Ibiraiaras, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4310330,Imbé,"Imbé, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4310405,Independência,"Independência, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4310462,Ipiranga do Sul,"Ipiranga do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4310439,Ipê,"Ipê, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4310538,Itaara,"Itaara, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4310801,Ivoti,"Ivoti, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4310876,Jacuizinho,"Jacuizinho, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4311122,Jaquirana,"Jaquirana, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4311130,Jari,"Jari, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4311155,Jóia,"Jóia, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4311205,Júlio de Castilhos,"Júlio de Castilhos, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4311502,Lavras do Sul,"Lavras do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4311981,Mariana Pimentel,"Mariana Pimentel, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4312005,Mariano Moro,"Mariano Moro, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4312104,Mata,"Mata, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4312179,Mato Queimado,"Mato Queimado, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4311718,Maçambará,"Maçambará, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
