ordem_fonte,chave_municipal,municipio_fonte,municipio_ibge,data_extrato
151,4307815,Estrela Velha,Estrela Velha,2024-06-11
152,4307831,Eugênio de Castro,Eugênio de Castro,2024-06-11
153,4307864,Fagundes Varela,Fagundes Varela,2024-06-11
154,4307906,Farroupilha,Farroupilha,2024-06-11
155,4308003,Faxinal do Soturno,Faxinal do Soturno,2024-06-11
156,4308052,Faxinalzinho,Faxinalzinho,2024-06-11
157,4308078,Fazenda Vilanova,Fazenda Vilanova,2024-06-11
158,4308102,Feliz,Feliz,2024-06-11
159,4308201,Flores da Cunha,Flores da Cunha,2024-06-11
160,4308250,Floriano Peixoto,Floriano Peixoto,2024-06-11
161,4308300,Fontoura Xavier,Fontoura Xavier,2024-06-11
162,4308409,Formigueiro,Formigueiro,2024-06-11
163,4308433,Forquetinha,Forquetinha,2024-06-11
164,4308458,Fortaleza Dos Valos,Fortaleza dos Valos,2024-06-11
165,4308508,Frederico Westphalen,Frederico Westphalen,2024-06-11
166,4308607,Garibaldi,Garibaldi,2024-06-11
167,4308656,Garruchos,Garruchos,2024-06-11
168,4308706,Gaurama,Gaurama,2024-06-11
169,4308805,General Câmara,General Câmara,2024-06-11
170,4308854,Gentil,Gentil,2024-06-11
171,4308904,Getúlio Vargas,Getúlio Vargas,2024-06-11
172,4309001,Giruá,Giruá,2024-06-11
173,4309050,Glorinha,Glorinha,2024-06-11
174,4309100,Gramado,Gramado,2024-06-11
175,4309126,Gramado Dos Loureiros,Gramado dos Loureiros,2024-06-11
176,4309159,Gramado Xavier,Gramado Xavier,2024-06-11
177,4309209,Gravataí,Gravataí,2024-06-11
178,4309258,Guabiju,Guabiju,2024-06-11
179,4309308,Guaíba,Guaíba,2024-06-11
180,4309407,Guaporé,Guaporé,2024-06-11
181,4309506,Guarani Das Missões,Guarani das Missões,2024-06-11
182,4309555,Harmonia,Harmonia,2024-06-11
183,4307104,Herval,Herval,2024-06-11
184,4309571,Herveiras,Herveiras,2024-06-11
185,4309605,Horizontina,Horizontina,2024-06-11
186,4309654,Hulha Negra,Hulha Negra,2024-06-11
187,4309704,Humaitá,Humaitá,2024-06-11
188,4309753,Ibarama,Ibarama,2024-06-11
189,4309803,Ibiaçá,Ibiaçá,2024-06-11
190,4309902,Ibiraiaras,Ibiraiaras,2024-06-11
191,4309951,Ibirapuitã,Ibirapuitã,2024-06-11
192,4310009,Ibirubá,Ibirubá,2024-06-11
193,4310108,Igrejinha,Igrejinha,2024-06-11
194,4310207,Ijuí,Ijuí,2024-06-11
195,4310306,Ilópolis,Ilópolis,2024-06-11
196,4310330,Imbé,Imbé,2024-06-11
197,4310363,Imigrante,Imigrante,2024-06-11
198,4310405,Independência,Independência,2024-06-11
199,4310413,Inhacorá,Inhacorá,2024-06-11
200,4310439,Ipê,Ipê,2024-06-11
201,4310462,Ipiranga do Sul,Ipiranga do Sul,2024-06-11
202,4310504,Iraí,Iraí,2024-06-11
203,4310538,Itaara,Itaara,2024-06-11
204,4310553,Itacurubi,Itacurubi,2024-06-11
205,4310579,Itapuca,Itapuca,2024-06-11
206,4310603,Itaqui,Itaqui,2024-06-11
207,4310652,Itati,Itati,2024-06-11
208,4310702,Itatiba do Sul,Itatiba do Sul,2024-06-11
209,4310751,Ivorá,Ivorá,2024-06-11
210,4310801,Ivoti,Ivoti,2024-06-11
211,4310850,Jaboticaba,Jaboticaba,2024-06-11
212,4310876,Jacuizinho,Jacuizinho,2024-06-11
213,4310900,Jacutinga,Jacutinga,2024-06-11
214,4311007,Jaguarão,Jaguarão,2024-06-11
215,4311106,Jaguari,Jaguari,2024-06-11
216,4311122,Jaquirana,Jaquirana,2024-06-11
217,4311130,Jari,Jari,2024-06-11
218,4311155,Jóia,Jóia,2024-06-11
219,4311205,Júlio de Castilhos,Júlio de Castilhos,2024-06-11
220,4311239,Lagoa Bonita do Sul,Lagoa Bonita do Sul,2024-06-11
221,4311270,Lagoa Dos Três Cantos,Lagoa dos Três Cantos,2024-06-11
222,4311304,Lagoa Vermelha,Lagoa Vermelha,2024-06-11
223,4311254,Lagoão,Lagoão,2024-06-11
224,4311403,Lajeado,Lajeado,2024-06-11
225,4311429,Lajeado do Bugre,Lajeado do Bugre,2024-06-11
226,4311502,Lavras do Sul,Lavras do Sul,2024-06-11
227,4311601,Liberato Salzano,Liberato Salzano,2024-06-11
228,4311627,Lindolfo Collor,Lindolfo Collor,2024-06-11
229,4311643,Linha Nova,Linha Nova,2024-06-11
230,4311718,Maçambara,Maçambará,2024-06-11
231,4311700,Machadinho,Machadinho,2024-06-11
232,4311734,Mampituba,Mampituba,2024-06-11
233,4311759,Manoel Viana,Manoel Viana,2024-06-11
234,4311775,Maquiné,Maquiné,2024-06-11
235,4311791,Maratá,Maratá,2024-06-11
236,4311809,Marau,Marau,2024-06-11
237,4311908,Marcelino Ramos,Marcelino Ramos,2024-06-11
238,4311981,Mariana Pimentel,Mariana Pimentel,2024-06-11
239,4312005,Mariano Moro,Mariano Moro,2024-06-11
240,4312054,Marques de Souza,Marques de Souza,2024-06-11
241,4312104,Mata,Mata,2024-06-11
242,4312138,Mato Castelhano,Mato Castelhano,2024-06-11
243,4312153,Mato Leitão,Mato Leitão,2024-06-11
244,4312179,Mato Queimado,Mato Queimado,2024-06-11
245,4312203,Maximiliano de Almeida,Maximiliano de Almeida,2024-06-11
246,4312252,Minas do Leão,Minas do Leão,2024-06-11
247,4312302,Miraguaí,Miraguaí,2024-06-11
248,4312351,Montauri,Montauri,2024-06-11
249,4312377,Monte Alegre Dos Campos,Monte Alegre dos Campos,2024-06-11
250,4312385,Monte Belo do Sul,Monte Belo do Sul,2024-06-11
251,4312401,Montenegro,Montenegro,2024-06-11
252,4312427,Mormaço,Mormaço,2024-06-11
