chave_municipal,municipio_cobertura,localizacao_cobertura,afetado_lista_2024_06_11,qtd_movimentacoes_base,creditos_base,ajustes_negativos_base,saldo_liquido_base,qtd_movimentacoes_ate_extrato,saldo_liquido_ate_extrato,situacao_na_base,situacao_comparacao
4304614,Canudos do Vale,"Canudos do Vale, Rio Grande do Sul, Brasil",1,3,1334883.72,0.00,1334883.72,0,0.00,saldo_positivo,afetado_com_registro
4304689,Capela de Santana,"Capela de Santana, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,2,350000.00,saldo_positivo,afetado_com_registro
4304697,Capitão,"Capitão, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4304671,Capivari do Sul,"Capivari do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4304622,Capão Bonito do Sul,"Capão Bonito do Sul, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4304630,Capão da Canoa,"Capão da Canoa, Rio Grande do Sul, Brasil",0,0,0.00,0.00,0.00,0,0.00,sem_registro,nao_listado_sem_registro
4304655,Capão do Cipó,"Capão do Cipó, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4304663,Capão do Leão,"Capão do Leão, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4304705,Carazinho,"Carazinho, Rio Grande do Sul, Brasil",0,0,0.00,0.00,0.00,0,0.00,sem_registro,nao_listado_sem_registro
4304713,Caraá,"Caraá, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4304804,Carlos Barbosa,"Carlos Barbosa, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4304853,Carlos Gomes,"Carlos Gomes, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4304903,Casca,"Casca, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4304952,Caseiros,"Caseiros, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4305009,Catuípe,"Catuípe, Rio Grande do Sul, Brasil",1,1,150000.00,0.00,150000.00,0,0.00,saldo_positivo,afetado_com_registro
4305108,Caxias do Sul,"Caxias do Sul, Rio Grande do Sul, Brasil",1,3,5782558.14,0.00,5782558.14,1,200000.00,saldo_positivo,afetado_com_registro
4302808,Caçapava do Sul,"Caçapava do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4305116,Centenário,"Centenário, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4305124,Cerrito,"Cerrito, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4305132,Cerro Branco,"Cerro Branco, Rio Grande do Sul, Brasil",1,3,1334883.72,0.00,1334883.72,1,200000.00,saldo_positivo,afetado_com_registro
4305157,Cerro Grande,"Cerro Grande, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4305173,Cerro Grande do Sul,"Cerro Grande do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4305207,Cerro Largo,"Cerro Largo, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4305306,Chapada,"Chapada, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4305355,Charqueadas,"Charqueadas, Rio Grande do Sul, Brasil",1,1,2093023.26,0.00,2093023.26,0,0.00,saldo_positivo,afetado_com_registro
4305371,Charrua,"Charrua, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
