"Tabela 6579 - População residente estimada"
"Variável - População residente estimada"
"Nível";"Cód.";"Município";"Ano"
"Nível";"Cód.";"Município";"2024"
"MU";"4309050";"Glorinha (RS)";"7842";"Pessoas"
"MU";"4309100";"Gramado (RS)";"41621";"Pessoas"
"MU";"4309126";"Gramado dos Loureiros (RS)";"2049";"Pessoas"
"MU";"4309159";"Gramado Xavier (RS)";"3356";"Pessoas"
"MU";"4309209";"Gravataí (RS)";"275294";"Pessoas"
"MU";"4309258";"Guabiju (RS)";"1442";"Pessoas"
"MU";"4309308";"Guaíba (RS)";"95956";"Pessoas"
"MU";"4309407";"Guaporé (RS)";"26138";"Pessoas"
"MU";"4309506";"Guarani das Missões (RS)";"7553";"Pessoas"
"MU";"4309555";"Harmonia (RS)";"5524";"Pessoas"
"MU";"4309571";"Herveiras (RS)";"2608";"Pessoas"
"MU";"4309605";"Horizontina (RS)";"19246";"Pessoas"
"MU";"4309654";"Hulha Negra (RS)";"6102";"Pessoas"
"MU";"4309704";"Humaitá (RS)";"4774";"Pessoas"
"MU";"4309753";"Ibarama (RS)";"3793";"Pessoas"
"MU";"4309803";"Ibiaçá (RS)";"4618";"Pessoas"
"MU";"4309902";"Ibiraiaras (RS)";"6830";"Pessoas"
"MU";"4309951";"Ibirapuitã (RS)";"3793";"Pessoas"
"MU";"4310009";"Ibirubá (RS)";"22082";"Pessoas"
"MU";"4310108";"Igrejinha (RS)";"34763";"Pessoas"
"MU";"4310207";"Ijuí (RS)";"87775";"Pessoas"
"MU";"4310306";"Ilópolis (RS)";"4245";"Pessoas"
"MU";"4310330";"Imbé (RS)";"27931";"Pessoas"
"MU";"4310363";"Imigrante (RS)";"3148";"Pessoas"
"MU";"4310405";"Independência (RS)";"6558";"Pessoas"
"MU";"4310413";"Inhacorá (RS)";"2049";"Pessoas"
"MU";"4310439";"Ipê (RS)";"5496";"Pessoas"
"MU";"4310462";"Ipiranga do Sul (RS)";"1750";"Pessoas"
"MU";"4310504";"Iraí (RS)";"7624";"Pessoas"
"MU";"4310538";"Itaara (RS)";"5706";"Pessoas"
"MU";"4310553";"Itacurubi (RS)";"3042";"Pessoas"
"MU";"4310579";"Itapuca (RS)";"1967";"Pessoas"
"MU";"4310603";"Itaqui (RS)";"36830";"Pessoas"
"MU";"4310652";"Itati (RS)";"2695";"Pessoas"
"MU";"4310702";"Itatiba do Sul (RS)";"3249";"Pessoas"
"MU";"4310751";"Ivorá (RS)";"1964";"Pessoas"
"MU";"4310801";"Ivoti (RS)";"23533";"Pessoas"
"MU";"4310850";"Jaboticaba (RS)";"3850";"Pessoas"
"MU";"4310876";"Jacuizinho (RS)";"2070";"Pessoas"
"MU";"4310900";"Jacutinga (RS)";"3401";"Pessoas"
"MU";"4311007";"Jaguarão (RS)";"27406";"Pessoas"
"MU";"4311106";"Jaguari (RS)";"10779";"Pessoas"
"MU";"4311122";"Jaquirana (RS)";"3755";"Pessoas"
"MU";"4311130";"Jari (RS)";"3414";"Pessoas"
"MU";"4311155";"Jóia (RS)";"7305";"Pessoas"
"MU";"4311205";"Júlio de Castilhos (RS)";"18557";"Pessoas"
"MU";"4311239";"Lagoa Bonita do Sul (RS)";"2287";"Pessoas"
"MU";"4311254";"Lagoão (RS)";"5429";"Pessoas"
"MU";"4311270";"Lagoa dos Três Cantos (RS)";"1779";"Pessoas"
"MU";"4311304";"Lagoa Vermelha (RS)";"28617";"Pessoas"
"MU";"4311403";"Lajeado (RS)";"96651";"Pessoas"
"MU";"4311429";"Lajeado do Bugre (RS)";"2660";"Pessoas"
"MU";"4311502";"Lavras do Sul (RS)";"7294";"Pessoas"
"MU";"4311601";"Liberato Salzano (RS)";"4854";"Pessoas"
"MU";"4311627";"Lindolfo Collor (RS)";"6409";"Pessoas"
"MU";"4311643";"Linha Nova (RS)";"1720";"Pessoas"
"MU";"4311700";"Machadinho (RS)";"5864";"Pessoas"
"MU";"4311718";"Maçambará (RS)";"4487";"Pessoas"
"MU";"4311734";"Mampituba (RS)";"3201";"Pessoas"
"MU";"4311759";"Manoel Viana (RS)";"6917";"Pessoas"
"MU";"4311775";"Maquiné (RS)";"7588";"Pessoas"
"MU";"4311791";"Maratá (RS)";"2521";"Pessoas"
"MU";"4311809";"Marau (RS)";"46656";"Pessoas"
"MU";"4311908";"Marcelino Ramos (RS)";"4389";"Pessoas"
"MU";"4311981";"Mariana Pimentel (RS)";"4003";"Pessoas"
"MU";"4312005";"Mariano Moro (RS)";"1888";"Pessoas"
"MU";"4312054";"Marques de Souza (RS)";"4050";"Pessoas"
"MU";"4312104";"Mata (RS)";"4786";"Pessoas"
"MU";"4312138";"Mato Castelhano (RS)";"2610";"Pessoas"
"MU";"4312153";"Mato Leitão (RS)";"4990";"Pessoas"
"MU";"4312179";"Mato Queimado (RS)";"1833";"Pessoas"
"MU";"4312203";"Maximiliano de Almeida (RS)";"4258";"Pessoas"
"MU";"4312252";"Minas do Leão (RS)";"7661";"Pessoas"
"MU";"4312302";"Miraguaí (RS)";"4506";"Pessoas"
"MU";"4312351";"Montauri (RS)";"1530";"Pessoas"
"MU";"4312377";"Monte Alegre dos Campos (RS)";"3250";"Pessoas"
"MU";"4312385";"Monte Belo do Sul (RS)";"2609";"Pessoas"
"MU";"4312401";"Montenegro (RS)";"66295";"Pessoas"
"MU";"4312427";"Mormaço (RS)";"2815";"Pessoas"
"MU";"4312443";"Morrinhos do Sul (RS)";"3134";"Pessoas"
"MU";"4312450";"Morro Redondo (RS)";"6169";"Pessoas"
"MU";"4312476";"Morro Reuter (RS)";"6163";"Pessoas"
"MU";"4312500";"Mostardas (RS)";"12346";"Pessoas"
"MU";"4312609";"Muçum (RS)";"4694";"Pessoas"
"MU";"4312617";"Muitos Capões (RS)";"2938";"Pessoas"
"MU";"4312625";"Muliterno (RS)";"1755";"Pessoas"
"MU";"4312658";"Não-Me-Toque (RS)";"18314";"Pessoas"
"MU";"4312674";"Nicolau Vergueiro (RS)";"1979";"Pessoas"
"MU";"4312708";"Nonoai (RS)";"14056";"Pessoas"
"MU";"4312757";"Nova Alvorada (RS)";"3229";"Pessoas"
